Country_iso,Sector,Fuel,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
abw,AGR,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,AGR,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,AGR,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,AGR,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,ENE,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.004033209,0.004167495,0.00389464,0.004065001,0.002979023,0.002788483,0.00592383,0.002752935,0.003544503,0.003074719,0.003040568,0.004243119,0.004414327,0.002135771,0.004683725,0.005673546,0.000822367,0.001807392,0.002464514,0.002090852,0.005207273,0.00619267,0.005624817,0.004769553,0.004535049,0.005807009,0.005746843,0.005498098,0.00441092,0.003418523,0.004182347,0.004190791,0.0042298,0.00464001,0.004909733,0.004848555,0.00486167,0.005023604,0.005094401,0.005034977,0.006981222,0.003821166,0.002648784,0.001648517,0.001562505,0.00158223,0.001597591,0.001010016
abw,ENE,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,ENE,SOLID_BIOFUEL,kt C/year,0.000132639,8.89E-05,8.83E-05,8.77E-05,8.69E-05,0.000323798,0.000321012,0.000401664,0.000396989,0.000475996,8.22E-05,8.19E-05,8.21E-05,8.25E-05,8.26E-05,8.21E-05,8.06E-05,0,0,0,0.002633815,0.00284659,0.002806425,0.003082671,0.00302468,0.003281142,0.003727468,0.003964058,0.005279937,0.010975239,0.006608257,0.006727598,0.007181936,0.00670021,0.007964716,0.006171618,0.006179662,0.006299697,0.005790378,0.005715404,0.006810431,0.004588907,0.004608365,0.004976396,0.006614291,0.008879614,0.008351519,0.007059448
abw,ENE,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,IND,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.118547868,0.089340172,0.135280027,0.119072568,0.085982416,0.085540304,0.111754775,0.062418297,0.046031882,0.046802231,0.050026175,0.070246947,0.063520809,0.033794331,0.086920787,0.083861037,0.016879109,0.03695064,0.04204512,0.049039659,0.113619926,0.101533854,0.078318304,0.075230562,0.075381304,0.088643154,0.087169368,0.096764574,0.025046201,0.010890407,0.020764436,0.024552969,0.018760379,0.016052426,0.028000882,0.015035924,0.017525352,0.020175156,0.007753482,0.018022289,0.006931599,0.006465274,0.006236644,0.004981766,0.003872467,0.003719194,0.003762819,0.003717837
abw,IND,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
