"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2090",0,0,0,0,0,0
"AUS","2090",0,0,0,0,0,0
"AUT","2090",0,265,4985,443,105,5798
"BGR","2090",22,1281,17248,1938,6559,27048
"BLX","2090",31,2254,25834,4222,2192,34532
"BRA","2090",0,0,0,0,0,0
"CAN","2090",0,314,8298,421,76,9110
"CHE","2090",0,328,5082,583,223,6216
"CHL","2090",28,1717,25526,1301,5037,33610
"CHN","2090",5635,1649251,1533217,892126,3583606,7663836
"COR","2090",46,26274,36213,13522,31472,107528
"EAF","2090",37189,329681,1908984,81995,1590194,3948043
"EGY","2090",2970,100792,710538,41127,391230,1246657
"ESP","2090",135,7848,67210,15429,12914,103535
"FIN","2090",0,0,0,0,0,0
"FRA","2090",6,1404,28363,2332,461,32566
"GBR","2090",0,0,0,0,0,0
"GOLF","2090",4095,104977,1588546,142229,969573,2809419
"GRC","2090",12,1108,11030,2134,1403,15688
"HUN","2090",0,513,30430,833,2354,34130
"IDN","2090",2170,50805,607838,79680,123603,864096
"ITA","2090",159,8675,68157,17260,16495,110745
"JPN","2090",280,5763,59784,24750,19212,109788
"KAZ","2090",153,4582,152871,8094,56160,221859
"MEME","2090",435,13730,101377,27592,28934,172067
"MEX","2090",536,17840,225992,13782,68817,326967
"MON","2090",72,9304,63715,2665,8382,84137
"MYS","2090",0,76,1881,277,52,2286
"NDE","2090",92421,3324730,10475994,1045850,8449699,23388694
"NOA","2090",3899,47590,236698,9031,291959,589177
"NOR","2090",0,0,0,0,0,0
"NZL","2090",126,927,6738,4168,5551,17510
"PAC","2090",0,598,2150,251,124,3123
"PHL","2090",0,0,0,0,0,0
"POL","2090",0,0,0,0,0,0
"RCAM","2090",166,7296,117961,5427,18485,149336
"RCEU","2090",99,5125,66774,7780,27908,107686
"RCZ","2090",25,1599,15382,3102,2150,22257
"RFA","2090",80,6288,64665,12000,7497,90529
"RIS","2090",1238,26428,234378,41842,231835,535721
"ROM","2090",11,1213,24903,1718,2977,30822
"RSA","2090",913,14317,100623,3472,50041,169367
"RSAM","2090",39,992,56494,983,1554,60062
"RSAS","2090",23027,603224,3753573,248518,2440386,7068728
"RSEA","2090",375,77009,82930,40937,138229,339481
"RUE","2090",0,0,0,0,0,0
"RUS","2090",11,1917,73730,2378,1437,79473
"SAF","2090",1797,28168,248315,6609,66652,351541
"SWE","2090",0,0,0,0,0,0
"THA","2090",1282,21392,199917,34658,78919,336168
"TUR","2090",219,12617,215892,18392,43048,290168
"TWN","2090",18,12985,18877,6629,14164,52674
"UKR","2090",0,0,0,0,0,0
"USA","2090",197,33055,492471,49314,21656,596693
"VNM","2090",128,64952,90167,33396,76872,265515
"WAF","2090",87146,471978,2103462,90405,3173185,5926176
