"region","year","unit","M_MAIZE","M_RICE","M_SOY","M_WHEAT"
"ARG","2010","%",0.00754101063814516,0.00288969035660069,0.0376782496319297,0.0157869669037968
"AUS","2010","%",0.00638012885102257,0,0.0404884143810507,0.00161232472455664
"AUT","2010","%",0.043883939775733,0,0.151765343685577,0.0499044921465766
"BGR","2010","%",0.0477193063553785,0.0196060027376556,0.161004227800947,0.0487372619845077
"BLX","2010","%",0.0251439307579291,0,0,0.0306799905549872
"BRA","2010","%",0.0130982129401522,0.0108032961761563,0.0863375465191777,0.0367827280854671
"CAN","2010","%",0.0550230627633091,0.0601035363466638,0.21692973211987,0.0299573932957337
"CHE","2010","%",0.0611832918765249,0.0443641421662964,0.225381328806252,0.0775618812135224
"CHL","2010","%",0.0162860520949686,0.00198358265913268,0.0928911722099526,0.00781527558469597
"CHN","2010","%",0.070901904316094,0,0.21256028735002,0.0672168328085961
"COR","2010","%",0.0179735284185816,0.00560946656999106,0.0763051195353518,0.0159912235348819
"EAF","2010","%",0.0157561745107304,0.00251251053964197,0.154448204720349,0.0461076069439973
"EGY","2010","%",0.103144022315498,0.0412173248283221,0.283802582807742,0.0692197804025408
"ESP","2010","%",0.0863249355416235,0.035351433151917,0.264176412066452,0.0807929109479294
"FIN","2010","%",0,0,0,0.017972729963982
"FRA","2010","%",0.0574983432052788,0.029470356687887,0.184355316237501,0.0563820412555117
"GBR","2010","%",0,0,0,0.0381675060360671
"GOLF","2010","%",0.103799062972619,0.0408928140938205,0.288085713021901,0.089069297796602
"GRC","2010","%",0.0876638920367013,0.0433888748137815,0.260489544037826,0.0684037003561613
"HUN","2010","%",0.0368485211656271,0.0142152770127333,0.136249225068619,0.0370556879566174
"IDN","2010","%",0.0181285321548665,0.00617422024781089,0,0
"ITA","2010","%",0.11512006133005,0.0444452054730917,0.309571509995762,0.0912207907771241
"JPN","2010","%",0.0497179158321096,0.0159640051925382,0.173645998576093,0.0529004437585949
"KAZ","2010","%",0.0244013861007518,0.00892224295468225,0.149226580778017,0.0330149263543938
"MEME","2010","%",0.098447541615038,0,0.277442107516528,0.0681254345245242
"MEX","2010","%",0.0315167077785053,0.0210349053023526,0.169344776405797,0.101966163666808
"MON","2010","%",0.0793666155722347,0.01731305572979,0.23259257253028,0.0902109249815889
"MYS","2010","%",0.0444130488526286,0,0,0
"NDE","2010","%",0.0342450787217952,0,0.156445577246846,0.0743885895740041
"NOA","2010","%",0.0584537782453245,0.0217127264217104,0.266878862888483,0.0553605401519701
"NOR","2010","%",0,0,0,0.0359277544064971
"NZL","2010","%",0.0175264278479462,0,0.0862539242351242,0.00841272834176221
"PAC","2010","%",0.00928218062249486,0.00206948626850612,0,0
"PHL","2010","%",0.0204604971202584,0,0,0
"POL","2010","%",0.0286635621155494,0,0,0.0384087663750303
"RCAM","2010","%",0.0207014495815517,0.00951719634757531,0.0768696644467806,0.0453803313710408
"RCEU","2010","%",0.0409506484272477,0.0200246581454039,0.1522130457466,0.0468205805954633
"RCZ","2010","%",0.0332199075083338,0.0110550634680208,0.132541764677144,0.0388528482439472
"RFA","2010","%",0.0361681329555248,0,0.190175824185155,0.0416622337573143
"RIS","2010","%",0.0521626045801741,0.0214585084369902,0.209516147709357,0.0712029856229732
"ROM","2010","%",0.0394751753216619,0.0157497362393135,0.142908067504915,0.0388546493542496
"RSA","2010","%",0.0259471045576839,0.0019695578763036,0.11130041675433,0.0418102125163256
"RSAM","2010","%",0.0207571562124307,0,0.0644657116054645,0.0315584700347912
"RSAS","2010","%",0.0430669077045946,0.000606981993804268,0.154571296056624,0.0610776491892377
"RSEA","2010","%",0.0155447107039192,0,0.101359353127409,0.0697210590497831
"RUE","2010","%",0.0146428604427515,0.00820195230522269,0.0956623162788155,0.00784636329918897
"RUS","2010","%",0.0335640790408968,0.0223093502415737,0.18020287196568,0.0181093638727361
"SAF","2010","%",0.0538196433066617,0.00373797150604427,0.186403783809674,0.0662711635652511
"SWE","2010","%",0,0,0,0.0423911671099142
"THA","2010","%",0.0246872407194072,0,0.119620911705077,0.0862125752151777
"TUR","2010","%",0.0942444538307413,0.0343938712281754,0.275981396628607,0.0866821201908818
"TWN","2010","%",0.134410595775766,0.0501783717119827,0.307373613249093,0.131651289528179
"UKR","2010","%",0.0338312068154206,0.021488950949841,0.136619110641695,0.0345707293726164
"USA","2010","%",0.0663162311098473,0.0376574985350953,0.205164549342187,0.070240882516669
"VNM","2010","%",0.0459359904490113,0,0.24180430473379,0.101384391271479
"WAF","2010","%",0.0109005254990032,0.00504659098396931,0,0.0307771761603236
